Category	Owner	Name	Model	Type	Weight in oz	Weight in lb	Notes
Big Four	Jennifer	Sleeping bag compression bag	Therm-a-rest Boost 650 20 Short Compression Bag	Carried	2.11	0.13
Kitchen, Food, & Water	Jennifer	Titanium cup	Toaks purple and blue cup	Carried	1.605	0.10
Big Four	Jennifer	Sleeping pad	NEMO Tensor Elite Insulated All Season Long x Wide	Carried	20.22	1.26
Big Four	Jennifer	Sleeping pad stuff sack	NEMO Tensor Elite Insulated All Season Long x Wide Stuff Sack	Carried	0.535	0.03
Clothing	Jennifer	Rain pants	Outdoor Research Helium Rain Pant	Carried	6.7	0.42
Clothing	Jennifer	Alpha 90 fleece pants	Farpointe Alpha 90 pants	Carried	4.005	0.25
Clothing	Jennifer	Alpha 90 fleece hoody	Alpine Fit Fastpacker Alpha 90 Hoody	Carried	4.495	0.28
Clothing	Jennifer	Insulated pants	Mountain Hardwear Ghost Whisperer pants	Carried	9.23	0.58
Clothing	Jennifer	Insulated jacket	Mountain Hardwear UL Ghost Whisperer jacket	Carried	6.455	0.40
Clothing	Jennifer	Rain jacket	Black Diamond Fineline Stretch Rain Shell	Carried	9.475	0.59
Clothing	Jennifer	Hiking shoes	Altra Lone Peak 9s	Worn	27.395	1.71
Clothing	Jennifer	Hiking pants	Mountain Hardwear Dynama pants	Worn	8.705	0.54
Clothing	Jennifer	Sunshirt	Mountain Hardwear Crater Lake Sun Hoody	Worn	5.995	0.37
Clothing	Jennifer	Sun hat	Green foldable sun hat from Amazon	Worn	4.075	0.25
Clothing	Jennifer	Sleeping socks	Black alpaca socks	Carried	2.875	0.18
Clothing	Jennifer	Hiking socks	Compression toe socks	Worn	2.675	0.17
Clothing	Jennifer	Spare hiking socks	Compression toe socks	Carried	2.675	0.17
Clothing	Jennifer	Watch	Garmin Descent 1	Worn	2.8	0.18
Clothing	Jennifer	Gloves	Black eldora gloves	Carried	1.875	0.12
Clothing	Jennifer	Neck gaitor	Smartwool orange gaitor	Carried	1.51	0.09
Clothing	Jennifer	Headband	Smartwool floral headband	Carried	0.955	0.06
Electronics	Jennifer	Phone	iPhone 17 Pro	Carried	8.88	0.56
Kitchen, Food, & Water	Jennifer	Water	2 smart water bottles (full)	Carried	70.8	4.43
Hygiene	Jennifer	Toiletries	Toiletries bag	Carried	8.68	0.54	Bag 1: sunscreen in yellow tube, toothbrush; Bag 2: lotion, toothpaste, 6 contacts, 4 pieces of floss, 2 brown hair ties, 2 small hair ties, 2 bobby pins, 2 valacyclovir, 2 prenatals, 2 allergy meds
Hygiene	Jennifer	Kula cloth	Blue galaxy kula cloth	Carried	0.545	0.03
Tools & Utility	Jennifer	Trekking poles	Red black diamond pole	Carried	20.73	1.30
Big Four	Family	Tent footprint	Polycro ground sheet	Carried	3	0.19
Tools & Utility	Jennifer	Pillow	TREKOLOGY Ultralight Inflatable Camping Travel Pillow in bag	Carried	3.83	0.24
Clothing	Jennifer	Clothing stuff sack	Blue stuff sack from Thomas's sleeping bag	Carried	1.5	0.09
Tools & Utility	Jennifer	Headlamp	Blue Petzl headlamp	Carried	3.34	0.21
Kitchen, Food, & Water	Family	Bear food bag	Ursack	Carried	12.32	0.77
